Centroid Longitude,Centroid Latitude,Top-Left Longitude,Top-Left Latitude,Bottom-Right Longitude,Bottom-Right Latitude
-114.375, 27.741666666666667, -114.41666666666667, 27.78333333333333, -114.33333333333333, 27.7
-114.30833333333334, 31.475, -114.35, 31.516666666666666, -114.26666666666667, 31.433333333333334
-114.325, 27.65833333333333, -114.36666666666667, 27.7, -114.28333333333333, 27.616666666666667
-114.225, 31.441666666666666, -114.26666666666667, 31.483333333333334, -114.18333333333334, 31.4
-114.075, 27.858333333333334, -114.11666666666667, 27.9, -114.03333333333333, 27.816666666666666
-114.14166666666667, 31.424999999999997, -114.18333333333334, 31.466666666666665, -114.1, 31.383333333333333
-114.325, 29.84166666666667, -114.36666666666667, 29.883333333333333, -114.28333333333333, 29.8
-114.05833333333334, 29.708333333333336, -114.1, 29.75, -114.01666666666667, 29.666666666666668
-114.24166666666667, 27.625, -114.28333333333333, 27.666666666666668, -114.2, 27.583333333333332
-114.30833333333334, 31.391666666666666, -114.35, 31.433333333333334, -114.26666666666667, 31.35
-114.09166666666667, 27.15833333333333, -114.13333333333334, 27.2, -114.05, 27.116666666666667
-114.05833333333334, 31.40833333333333, -114.1, 31.45, -114.01666666666667, 31.366666666666667
-114.45833333333334, 27.741666666666667, -114.5, 27.78333333333333, -114.41666666666667, 27.7
-114.14166666666667, 29.775, -114.18333333333334, 29.816666666666666, -114.1, 29.733333333333334
-114.34166666666667, 29.925, -114.38333333333334, 29.96666666666667, -114.3, 29.883333333333333
-114.225, 31.358333333333334, -114.26666666666667, 31.4, -114.18333333333334, 31.316666666666666
-114.24166666666667, 29.825, -114.28333333333333, 29.866666666666667, -114.2, 29.78333333333333
-114.74166666666667, 31.041666666666664, -114.78333333333333, 31.083333333333332, -114.7, 31.0
-114.49166666666667, 30.041666666666664, -114.53333333333333, 30.083333333333332, -114.45, 30.0
-114.575, 30.175, -114.61666666666667, 30.21666666666667, -114.53333333333333, 30.133333333333333
-114.89166666666667, 27.741666666666667, -114.93333333333334, 27.78333333333333, -114.85, 27.7
-114.04166666666666, 27.941666666666666, -114.08333333333333, 27.983333333333334, -114.0, 27.9
-114.17500000000001, 27.191666666666666, -114.21666666666667, 27.233333333333334, -114.13333333333334, 27.15
-114.39166666666667, 31.525, -114.43333333333334, 31.566666666666666, -114.35, 31.483333333333334
-114.05833333333334, 29.791666666666664, -114.1, 29.833333333333332, -114.01666666666667, 29.75
-114.14166666666667, 31.34166666666667, -114.18333333333334, 31.383333333333333, -114.1, 31.3
-114.49166666666667, 30.125, -114.53333333333333, 30.166666666666668, -114.45, 30.083333333333332
-114.65833333333333, 31.141666666666666, -114.7, 31.183333333333334, -114.61666666666667, 31.1
-114.575, 30.258333333333333, -114.61666666666667, 30.3, -114.53333333333333, 30.21666666666667
-114.775, 31.125, -114.81666666666666, 31.166666666666668, -114.73333333333333, 31.083333333333332
-114.325, 27.575, -114.36666666666667, 27.616666666666667, -114.28333333333333, 27.53333333333333
-114.40833333333333, 27.65833333333333, -114.45, 27.7, -114.36666666666667, 27.616666666666667
-114.39166666666667, 31.441666666666666, -114.43333333333334, 31.483333333333334, -114.35, 31.4
-114.40833333333333, 30.041666666666664, -114.45, 30.083333333333332, -114.36666666666667, 30.0
-114.64166666666667, 30.958333333333336, -114.68333333333334, 31.0, -114.6, 30.916666666666668
-114.10833333333333, 27.775, -114.15, 27.816666666666666, -114.06666666666666, 27.733333333333334
-114.24166666666667, 29.90833333333333, -114.28333333333333, 29.95, -114.2, 29.866666666666667
-114.60833333333333, 30.641666666666666, -114.65, 30.683333333333334, -114.56666666666666, 30.6
-114.24166666666667, 27.541666666666664, -114.28333333333333, 27.583333333333332, -114.2, 27.5
-114.49166666666667, 30.208333333333336, -114.53333333333333, 30.25, -114.45, 30.166666666666668
-114.60833333333333, 30.875, -114.65, 30.916666666666668, -114.56666666666666, 30.833333333333332
-114.55833333333334, 30.425, -114.6, 30.46666666666667, -114.51666666666667, 30.383333333333333
-114.15833333333333, 29.858333333333334, -114.2, 29.9, -114.11666666666667, 29.816666666666666
-114.59166666666667, 31.241666666666667, -114.63333333333334, 31.283333333333335, -114.55, 31.2
-114.75833333333333, 31.34166666666667, -114.8, 31.383333333333333, -114.71666666666667, 31.3
-114.59166666666667, 30.725, -114.63333333333334, 30.766666666666666, -114.55, 30.683333333333334
-114.55833333333334, 30.34166666666667, -114.6, 30.383333333333333, -114.51666666666667, 30.3
-114.30833333333334, 31.308333333333334, -114.35, 31.35, -114.26666666666667, 31.266666666666666
-114.74166666666667, 31.208333333333336, -114.78333333333333, 31.25, -114.7, 31.166666666666668
-114.80833333333334, 27.741666666666667, -114.85, 27.78333333333333, -114.76666666666667, 27.7
-114.575, 30.558333333333334, -114.61666666666667, 30.6, -114.53333333333333, 30.516666666666666
-114.39166666666667, 31.358333333333334, -114.43333333333334, 31.4, -114.35, 31.316666666666666
-114.65833333333333, 31.041666666666664, -114.7, 31.083333333333332, -114.61666666666667, 31.0
-114.04166666666666, 27.075, -114.08333333333333, 27.116666666666667, -114.0, 27.03333333333333
-114.05833333333334, 31.325000000000003, -114.1, 31.366666666666667, -114.01666666666667, 31.283333333333335
